n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;924;18.48;34;7;0.6021688075214269;0.5253602153375204;2.1503030303030304;5.760607649521076;21;40;2;0.05;0.07;2
100;704;14.08;28;3;0.5697900073164847;0.504244968043499;2.390707070707071;3.52109181681483;10;82;3;0.05;0.07;2
100;665;13.3;32;4;0.5807434725750094;0.5107877060858945;2.45010101010101;4.667039160282981;13;54;4;0.05;0.07;2
100;852;17.04;47;6;0.6130264616398431;0.5153308230231307;2.1626262626262625;5.852988356307923;22;27;5;0.05;0.07;2
100;812;16.24;38;4;0.6145816498858069;0.5070584477802619;2.2385858585858585;5.512917015473798;23;21;6;0.05;0.07;2
100;770;15.4;32;3;0.597014218370696;0.5014257512612414;2.2492929292929293;3.180515953454705;11;70;7;0.05;0.07;2
100;737;14.74;36;4;0.5696087457154727;0.5065679484117507;2.341010101010101;7.650525763789855;24;13;8;0.05;0.07;2
100;812;16.24;36;4;0.5940833180227567;0.509242695289207;2.252121212121212;6.736910990303625;22;26;9;0.05;0.07;2
100;734;14.68;35;4;0.5903568443432076;0.49639393185774683;2.2959595959595958;3.6709836777911478;11;77;0;0.05;0.08;2
100;960;19.2;41;4;0.6142849889361098;0.5258760107816711;2.1014141414141414;7.464602569442818;29;24;1;0.05;0.08;2
100;931;18.62;34;7;0.6047352259758862;0.5264306876656791;2.145050505050505;5.627721262486611;21;40;2;0.05;0.08;2
100;714;14.28;30;3;0.5735852820724942;0.5062240663900415;2.3707070707070708;3.844697271317524;11;75;3;0.05;0.08;2
100;670;13.4;32;4;0.5851533490221787;0.5111512959614225;2.4414141414141413;5.936765205668263;17;25;4;0.05;0.08;2
100;865;17.3;51;6;0.6171776922344655;0.5137672811059908;2.1395959595959595;5.589388894087562;22;28;5;0.05;0.08;2
100;816;16.32;38;4;0.6152837168852677;0.5076456464046506;2.2311111111111113;4.386615879897712;19;33;6;0.05;0.08;2
100;777;15.54;32;3;0.5993271885749606;0.5023346023992529;2.2404040404040404;3.145786722876506;11;70;7;0.05;0.08;2
100;745;14.9;36;4;0.5697159846274126;0.5062937062937063;2.3307070707070707;3.0756305690604693;10;76;8;0.05;0.08;2
100;823;16.46;37;4;0.5985185168873439;0.5099593888996325;2.2381818181818183;7.3194263891203635;23;24;9;0.05;0.08;2
100;743;14.86;37;4;0.594801457839448;0.4970257234726688;2.281010101010101;3.6346211694047135;11;78;0;0.05;0.09;2
100;967;19.34;42;4;0.6167595748469707;0.526360017691287;2.0943434343434344;8.240319607991523;30;23;1;0.05;0.09;2
100;944;18.88;34;7;0.6070306135940323;0.5273360593669544;2.132323232323232;5.005737853977304;20;45;2;0.05;0.09;2
100;721;14.42;30;3;0.5766032848982032;0.5069544797687862;2.3604040404040405;5.662340747546075;16;36;3;0.05;0.09;2
100;675;13.5;32;4;0.586461908063084;0.5102787112077486;2.428080808080808;4.558944359613349;13;55;4;0.05;0.09;2
100;878;17.56;56;6;0.6205573147367348;0.5133067198935463;2.12;5.300088071164295;22;28;5;0.05;0.09;2
100;821;16.42;38;4;0.615935707876082;0.5087664566044799;2.227878787878788;4.425027668165413;19;34;6;0.05;0.09;2
100;785;15.7;33;3;0.5998159570786536;0.502104377104377;2.2288888888888887;3.0937474474361744;11;70;7;0.05;0.09;2
100;750;15.0;36;4;0.5712471180821825;0.5074626865671642;2.3230303030303032;6.380297291945516;22;20;8;0.05;0.09;2
100;829;16.58;38;4;0.5986289876756559;0.5090204548342016;2.2307070707070706;6.54356027316596;22;28;9;0.05;0.09;2
100;748;14.96;40;4;0.5967664066401869;0.49538679914833217;2.265858585858586;4.862390930496159;17;33;0;0.05;0.1;2
100;979;19.58;42;4;0.6187121324698694;0.5277382645803699;2.087878787878788;2.6110752039773013;10;92;1;0.05;0.1;2
